id,run,configuration,problem_id,passed,error
20250115_183014#few-shot#孫子算經_2_7,0,few-shot,孫子算經_2_7,True,
20250115_183014#few-shot#孫子算經_2_7,1,few-shot,孫子算經_2_7,True,
20250115_183014#few-shot#孫子算經_2_7,2,few-shot,孫子算經_2_7,True,
20250115_183014#few-shot#孫子算經_2_7,3,few-shot,孫子算經_2_7,True,
20250115_183014#few-shot#孫子算經_2_7,4,few-shot,孫子算經_2_7,True,
20250115_183014#few-shot#九章算術_4_21,0,few-shot,九章算術_4_21,False,"Variable 'a' has wrong value. Expected: 374/3, Actual: 124"
20250115_183014#few-shot#九章算術_4_21,1,few-shot,九章算術_4_21,False,"Variable 'a' has wrong value. Expected: 374/3, Actual: 42"
20250115_183014#few-shot#九章算術_4_21,2,few-shot,九章算術_4_21,False,"Variable 'a' has wrong value. Expected: 374/3, Actual: 16/3"
20250115_183014#few-shot#九章算術_4_21,3,few-shot,九章算術_4_21,False,Timed out
20250115_183014#few-shot#九章算術_4_21,4,few-shot,九章算術_4_21,False,"Variable 'a' has wrong value. Expected: 374/3, Actual: 104347/155682"
20250115_183014#few-shot#九章算術_5_3,0,few-shot,九章算術_5_3,True,
20250115_183014#few-shot#九章算術_5_3,1,few-shot,九章算術_5_3,True,
20250115_183014#few-shot#九章算術_5_3,2,few-shot,九章算術_5_3,True,
20250115_183014#few-shot#九章算術_5_3,3,few-shot,九章算術_5_3,True,
20250115_183014#few-shot#九章算術_5_3,4,few-shot,九章算術_5_3,True,
20250115_183014#few-shot#緝古算經_1_6,0,few-shot,緝古算經_1_6,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#緝古算經_1_6,1,few-shot,緝古算經_1_6,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#緝古算經_1_6,2,few-shot,緝古算經_1_6,False,"Variable 'a' has wrong value. Expected: 3, Actual: 2.989864787615432
Variable 'b' has wrong value. Expected: 9, Actual: 8.989864787615431
Variable 'c' has wrong value. Expected: 6/5, Actual: 1.1989864787615432
Variable 'd' has wrong value. Expected: 6, Actual: (11.408727675123796, 3.280678965816292)"
20250115_183014#few-shot#緝古算經_1_6,3,few-shot,緝古算經_1_6,False,"Variable 'a' has wrong value. Expected: 3, Actual: 3.1733635889665
Variable 'b' has wrong value. Expected: 9, Actual: 9.1733635889665
Variable 'c' has wrong value. Expected: 6/5, Actual: 9
Variable 'd' has wrong value. Expected: 6, Actual: 86.78066229399595"
20250115_183014#few-shot#緝古算經_1_6,4,few-shot,緝古算經_1_6,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#孫子算經_2_5,0,few-shot,孫子算經_2_5,True,
20250115_183014#few-shot#孫子算經_2_5,1,few-shot,孫子算經_2_5,True,
20250115_183014#few-shot#孫子算經_2_5,2,few-shot,孫子算經_2_5,False,"Variable 'a' has wrong value. Expected: 567/500, Actual: 1斗 67/50升"
20250115_183014#few-shot#孫子算經_2_5,3,few-shot,孫子算經_2_5,False,"Variable 'a' has wrong value. Expected: 567/500, Actual: 567/50"
20250115_183014#few-shot#孫子算經_2_5,4,few-shot,孫子算經_2_5,False,"Variable 'a' has wrong value. Expected: 567/500, Actual: 1斗 1升 17/50斗"
20250123_153700#few-shot#九章算術_8_7,0,few-shot,九章算術_8_7,False,"Variable 'a' has wrong value. Expected: 1200, Actual: 23800/1359
Variable 'b' has wrong value. Expected: 500, Actual: 4600/453
Variable 'c' has wrong value. Expected: 300, Actual: -97400/1359"
20250123_153700#few-shot#九章算術_8_7,1,few-shot,九章算術_8_7,True,
20250123_153700#few-shot#九章算術_8_7,2,few-shot,九章算術_8_7,True,
20250123_153700#few-shot#九章算術_8_7,3,few-shot,九章算術_8_7,False,"Variable 'a' has wrong value. Expected: 1200, Actual: 23800/1359
Variable 'b' has wrong value. Expected: 500, Actual: 4600/453
Variable 'c' has wrong value. Expected: 300, Actual: -97400/1359"
20250123_153700#few-shot#九章算術_8_7,4,few-shot,九章算術_8_7,True,
20250115_183014#few-shot#九章算術_5_34,0,few-shot,九章算術_5_34,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#九章算術_5_34,1,few-shot,九章算術_5_34,False,"Variable 'a' has wrong value. Expected: 27/5, Actual: 67/5"
20250115_183014#few-shot#九章算術_5_34,2,few-shot,九章算術_5_34,False,"Variable 'a' has wrong value. Expected: 27/5, Actual: 325756911297718341297574606732480695234774222373973692652800229709471507378092358070145161494851067220554054724504332254115844628795986321232851710800388722148240038908346637532540378798208287240866975349408111433874360547367370989081206658701512204023195377443273783589076005072362866837649454259396689915741613891906274480187725578171231407991372510765023822712704366718854308426328194660295014862515790121185368162149730145447742087087968270251405441688666926107934836504898392383410775571282741700849489527738491683069058373380715548025611536991720723053847722155976743347306268097753510245336547589133475079975146249888205536696067343883473077245360137426833714068961148227623087217210699207741445915293321699235978731913522448865087849012259931345512646592763695838655221961866945132752279374896981946344085132605755197973048529318483465271179226312108946936238471528223198736105936352050983910951696956535877377685239516535815622818754145692436726751389020643564834337585593421318230302726691574850085085263311768317547252415573008519971549878420180496229404788444758674059340379367525976384472313531040769337972234903533831892653037178470326479112356644220424385834124183306092996662519796621634926183951467076006202366376686047113630955515587858848775957466351064649776203426557303740853522319154735760561964239314603597906293056754646685386219039868162160465658865704567463835962365103824426282110572768180532086944525725582829238400950886831807921696642809030303589032642671959541539458923885502418245071666032423966777093947624983290149108057903841481185420897169022797028104669096269214677094205259611876521847374559869612256459054854370414502239511242649986019244269372095033461272904622500246744037162414639486021976156735609927719826493564554177738122779282279064414698231610380945262165298374877701119085179989499336584516275085189714499053121435307993673450732361708492262682740772537204882507135028913973047601705527638554476567802953010782067551814728727730120350806760587595627820002861202215813579772353243040688382052663005087302101900699346041760138474636299179539093926196542358041065677916956108082799093195375230644360767356828155424167492644519261100082212694956161390847872197108582459282322625040180261691992890405440628453625879857901508605418774233922643793593213971939668722475307608371705299014288834677653223673908605209688978463374608382789317448104278672538119888364892547423405286038572873519538707193562278629855731100353091871800378595306701355021385165737555325349601841221109637819249698138150622765514684978262822401314317966644178470886603172761507968997141606713556721408667408506149580818082946984542559114697558887937618903195099460866254279908871219026637356382248127851154518402085162871162126585850099334089016453775451405378686308948938573915801316210645467061585518210358654194207724638604377500265099570766488830863093588125431137619645040098690184411994268701705214790834630487280833920628747312652958458820824322722881302844011077340801947647972277913999811872893507962412519980845585480083000649145517747403140102276466661080221270941022942019863759462093454840804445973814402152451007106595613387617072598720929879701483521/24295645864518595591483191787896864679358828057928900450406757724133341578008703677923248716139940885352296916447754344659362219139130723518671859027344411097959197205789029115414573209434070389183429038942677829036481170887943238462570356037383941258692205483297706857363794458777674801405124212198168014453459403503630070836707648509751603925334111006461623144425746934907942920975237256148657532180338841444259827029213174812035527878628146640015146126856391214026362121053582077112043780702952414760372072171369365754733373731755343389002043145719691481736556217702234562962580799578842364519457137871724455466428937603237210804402727979751532682724545834995782110840694534278050656453907431804099074962836430047565958082826319655311505827771747484083923572987199795302456864168789828234795493130763355550763013894115827174789372689065043651715183689304189130383115663891261411125488063690485833872452390910994606343907960347842392520242122442748740045599792385998873035952069504261719339528880628640269681575656925327919834981673562631729585675469761398012303820770234927852999805584735898246599216469890831638214627625157240831755806845607720936845923546639458407474351990815179029351386022204567755914809128880970671319080275945236319021174322214459850187748014162623133631700297865977789720560363039030360041755524867987855569334109003414865387248484644342529151610458159188716830560323182835468309202963590630555062768640553224957272530766491471696817076966366023361209698806207531936105958033919839244107713016710679580483487831635464458132243331002775075903422786540910227332734626632677390020761862535558407657005286027698524102839949438707270826150471403447585611747867728053856035445482358845774381923389199606358241005185028998342696389227122318324116267576415877237277446460954789371806141929980613241759602039009448883139402008634901981030531001324412070232815089766731003428232946836997148567360326694570468870099820147942304314490450196036143637630467285863736872341561251347956996277998458509370152338454213515689389307245859741671661268172673328073605152941279454650359175104818991964794560071775952036753167896271128741379217191608989225393957415666927444330149405128386815271631129619356506675852253538401786378689215332353163453597599939200238670685849235525904040994273592743047446771978911665794765928692570635086189851140296456925074287341784668033092639994794586472788609401496992142916498609594315463237582621642708164053431533125717317308021939242523074473188574763696260411636031857145427006746491488115374254423965306381921993500638625334756243829457509893180343770957867267966281108781690930316605701320154856362191895292648904930466379207663805701194118817306597392965420335894656374651356524252550675247757174442775338048955612450172628451986789968755251527457940313198829820835660763243810698313182766769626854131142177079465591052193641431563870443229119766704980309219959890064874972164614347194570103495040504214120236958552854844794064432772136861531110632146550143606370260821295604069833897482159021591911623045799530824536702881484212347902262237453048186848749174172098970537153538009942727149960984893471549269370664030324136791255040"
20250115_183014#few-shot#九章算術_5_34,3,few-shot,九章算術_5_34,False,Code error: 'Fraction' object has no attribute 'sqrt'
20250115_183014#few-shot#九章算術_5_34,4,few-shot,九章算術_5_34,False,"Variable 'a' has wrong value. Expected: 27/5, Actual: 3453800246180350668484120422450189571386628257256524405942689341488399017722331092973442043930411468556848942278073018392503940361445728379832923580633502328868003542732672373285611032671762818010816062523659910193244935190164211827647283215974216458206979759780434774784936281461113599458932341574384763669539155293641980435097848167437884046916683481896746451186632581896509238531534982410337067408297995213612533751233581513322928645235729483680867296122348425115460706373146216453720710389650359902886434333129389544549774128048366579094550552976159417515058823899616643899130205349304585254595480096396200734514877655507037240383586112208699097178288389573504883410427761559225353879661937668510794727020452081132210964835549308991200041727381852033403497174716644709061912866032718582004874839164577843506385341663796813827268617811949457774163251029431646986557774858080169449772832426444307505168498042701634164498819838130805752110456916264995792134345618488897091894137664753108101580299340152760293413665915474902061446788087498758918292144456277782905867075877804779262878567090901312822560235980535497798419359118425965032143140593712913908062311653454411537581705700298350361817846253801585055744024031651930565883546019700854549555623642606169137971983287500426538258004381791334661666767992391036077724493136570178985672291410692762364629800511823372852652474937190406339566063875254222309451524443463846313637279056603137379336833296639322730586337969678676082252162608024311278534558251092716715378225163531799766527805767312960459439510953073962921357237989481010780006591169206815745964982921203783418387880620515640627781715942388203285464707217487907812741468720942919835601287274211376201615176386788531385019046228798498362391776816535331106119710647792477891293286130818600146140723685680047007012757531306143198423205914496559660006332914275756357002744270809945423183021272144478932294191545429395931290144929022116499230307986710976266440858100663099000654081427613985853556312345475718076546079506357670702242675676098790838863354586074676215210604291909336580200082511458144479378495446899828743751033566735092891495838565126935621615669550468549730020136195978381806176942802082821109394654543429095196130524373261885359711995781528964921897300347263120655963244278878796306464494764322026881887021425865656055433225987861393555369512589214386110777801862713028864209405232289546108306114366980949811027800959358988681474107976369764481283372243482916777212614885795866956571481430810107018103296965558006306164246760691742651137347732790921917448192885621089504896760669344277616267321586110464462472746512809050241562936920106269293229658890249642829310100808115670190527220844080320780308070337119302320896568758518393130696196807852672162835766459987133892600388316438717110075889325016157522072724784784809035785194341085236367295944683521/257591915210091332186975816211019799640994869187190451694560420139261155390642929853189666809753403768139981769311867802143666161365448625182907155091575499635820103938679431931026288171108156535621510088840458750773658244679123045999801539358521429039012712758462051083643548626360905212036365858561824424290815636266954074346484194300629002021008347482389568052420105890573537570839364165303056745484021806028241766424008643946316873294986257862315755445565283241950367015878726993735222818487128988979085040933120039376319346759306560443514052018492402911017151905916123811505478814635281013707140852939808366561652842918129116944976400934954836779166495613690671316986205774834415514513057549699508229953566040990415944698806235681047974603646074787604258888043088489385106971094748245551152351273590559482217331010460795123741467135282555424341214281270182150125601587134257156450051747881309195837588173198432320425950849215056817354560296710152920622303375822273548637072829806720162552979375695480487779361704885302130711543252595772713191314126229824957382378945430763699205761072588910792776164575677321021614009872770125416675484730828012807233433065757214441912828100320460208154364970817811658495754412445365093816355609622482217023579267105229620305240080472080161149860717306196770148155538023924120316804695824414430120328003770648516779368850092941978390750027583073606054163962618988228669886223776064355040405177386085240758248492881350500566753395644820231971932265910758741766221806694052569230286023888886472028781397161559233098725456470363058342559513479192836476205101515792932472635488595312555276217265570285287020592518983336910398169641154254268139435578364138916207880852180828173045673407990903983325480383671149224528116066287961760045172036789116951869207432037777534933916978574640463184831370261765115467929418075391789130491441255384734411263679902536923835248393332333451967723684926794477818128029069026763752667244612430700821328969910722036787139702558901508363367700389930498548715200003070729037848721263867618723781240155536563108180850768960787560861710546309356771072321633111004776531716057647270064882490516356213771773333728637451835526837345194956451782351506049324796551535184269959104044756787471441601754788442002578762010604713991882370880218455422602237579100501025850137245620133013581158646582553354846866874995287565370863065780447280570055719264271390621249280030722474884406579673054972403242788483762252034413615183754945391838183858869162579045475524557322281951656174558094222788481267688918543636173238957711116082507606995416166194800590616783473854704465886586813082025363699527978589914666829962309424029759267582550749917676895415472817607150452187528050678051160362506802922235510717162468852692654554440975442016676825072029285767033806318454753680050174646541067774317777760836668088701790867735979627520"
20250115_183014#few-shot#九章算術_6_25,0,few-shot,九章算術_6_25,False,"Variable 'a' has wrong value. Expected: 15/74, Actual: 15/59"
20250115_183014#few-shot#九章算術_6_25,1,few-shot,九章算術_6_25,False,"Variable 'a' has wrong value. Expected: 15/74, Actual: 15/59"
20250115_183014#few-shot#九章算術_6_25,2,few-shot,九章算術_6_25,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#九章算術_6_25,3,few-shot,九章算術_6_25,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#九章算術_6_25,4,few-shot,九章算術_6_25,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#九章算術_4_17,0,few-shot,九章算術_4_17,True,
20250115_183014#few-shot#九章算術_4_17,1,few-shot,九章算術_4_17,True,
20250115_183014#few-shot#九章算術_4_17,2,few-shot,九章算術_4_17,True,
20250115_183014#few-shot#九章算術_4_17,3,few-shot,九章算術_4_17,True,
20250115_183014#few-shot#九章算術_4_17,4,few-shot,九章算術_4_17,True,
20250115_183014#few-shot#九章算術_6_6,0,few-shot,九章算術_6_6,False,"Variable 'a' has wrong value. Expected: 416/15, Actual: 694/25"
20250115_183014#few-shot#九章算術_6_6,1,few-shot,九章算術_6_6,False,"Variable 'a' has wrong value. Expected: 416/15, Actual: 694/25"
20250115_183014#few-shot#九章算術_6_6,2,few-shot,九章算術_6_6,False,"Variable 'a' has wrong value. Expected: 416/15, Actual: 694/25"
20250115_183014#few-shot#九章算術_6_6,3,few-shot,九章算術_6_6,False,"Variable 'a' has wrong value. Expected: 416/15, Actual: 694/25"
20250115_183014#few-shot#九章算術_6_6,4,few-shot,九章算術_6_6,False,"Variable 'a' has wrong value. Expected: 416/15, Actual: 694/25"
20250115_183014#few-shot#五曹算經_2_5,0,few-shot,五曹算經_2_5,True,
20250115_183014#few-shot#五曹算經_2_5,1,few-shot,五曹算經_2_5,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#五曹算經_2_5,2,few-shot,五曹算經_2_5,False,Code error: both arguments should be Rational instances
20250115_183014#few-shot#五曹算經_2_5,3,few-shot,五曹算經_2_5,True,
20250115_183014#few-shot#五曹算經_2_5,4,few-shot,五曹算經_2_5,True,
20250115_183014#few-shot#孫子算經_3_21,0,few-shot,孫子算經_3_21,False,"Variable 'a' has wrong value. Expected: 4600, Actual: 46000"
20250115_183014#few-shot#孫子算經_3_21,1,few-shot,孫子算經_3_21,False,"Variable 'a' has wrong value. Expected: 4600, Actual: 46000"
20250115_183014#few-shot#孫子算經_3_21,2,few-shot,孫子算經_3_21,False,"Variable 'a' has wrong value. Expected: 4600, Actual: 46000"
20250115_183014#few-shot#孫子算經_3_21,3,few-shot,孫子算經_3_21,False,"Variable 'a' has wrong value. Expected: 4600, Actual: 46000"
20250115_183014#few-shot#孫子算經_3_21,4,few-shot,孫子算經_3_21,False,"Variable 'a' has wrong value. Expected: 4600, Actual: 46000"
20250115_183014#few-shot#九章算術_2_24,0,few-shot,九章算術_2_24,True,
20250115_183014#few-shot#九章算術_2_24,1,few-shot,九章算術_2_24,True,
20250115_183014#few-shot#九章算術_2_24,2,few-shot,九章算術_2_24,True,
20250115_183014#few-shot#九章算術_2_24,3,few-shot,九章算術_2_24,True,
20250115_183014#few-shot#九章算術_2_24,4,few-shot,九章算術_2_24,True,
20250115_183014#few-shot#九章算術_4_7,0,few-shot,九章算術_4_7,True,
20250115_183014#few-shot#九章算術_4_7,1,few-shot,九章算術_4_7,True,
20250115_183014#few-shot#九章算術_4_7,2,few-shot,九章算術_4_7,True,
20250115_183014#few-shot#九章算術_4_7,3,few-shot,九章算術_4_7,True,
20250115_183014#few-shot#九章算術_4_7,4,few-shot,九章算術_4_7,True,
20250115_183014#few-shot#九章算術_2_30,0,few-shot,九章算術_2_30,True,
20250115_183014#few-shot#九章算術_2_30,1,few-shot,九章算術_2_30,True,
20250115_183014#few-shot#九章算術_2_30,2,few-shot,九章算術_2_30,True,
20250115_183014#few-shot#九章算術_2_30,3,few-shot,九章算術_2_30,True,
20250115_183014#few-shot#九章算術_2_30,4,few-shot,九章算術_2_30,True,
20250115_183014#few-shot#五曹算經_3_0,0,few-shot,五曹算經_3_0,True,
20250115_183014#few-shot#五曹算經_3_0,1,few-shot,五曹算經_3_0,True,
20250115_183014#few-shot#五曹算經_3_0,2,few-shot,五曹算經_3_0,True,
20250115_183014#few-shot#五曹算經_3_0,3,few-shot,五曹算經_3_0,True,
20250115_183014#few-shot#五曹算經_3_0,4,few-shot,五曹算經_3_0,True,
20250115_183014#few-shot#九章算術_2_9,0,few-shot,九章算術_2_9,True,
20250115_183014#few-shot#九章算術_2_9,1,few-shot,九章算術_2_9,True,
20250115_183014#few-shot#九章算術_2_9,2,few-shot,九章算術_2_9,True,
20250115_183014#few-shot#九章算術_2_9,3,few-shot,九章算術_2_9,False,"Variable 'a' has wrong value. Expected: 1029/125, Actual: 2058/25"
20250115_183014#few-shot#九章算術_2_9,4,few-shot,九章算術_2_9,True,
20250123_153700#few-shot#孫子算經_2_15,0,few-shot,孫子算經_2_15,False,"Variable 'a' has wrong value. Expected: 2897/2, Actual: 14483/10"
20250123_153700#few-shot#孫子算經_2_15,1,few-shot,孫子算經_2_15,False,"Variable 'a' has wrong value. Expected: 2897/2, Actual: 14483/10"
20250123_153700#few-shot#孫子算經_2_15,2,few-shot,孫子算經_2_15,False,"Variable 'a' has wrong value. Expected: 2897/2, Actual: 28963/20"
20250123_153700#few-shot#孫子算經_2_15,3,few-shot,孫子算經_2_15,False,"Variable 'a' has wrong value. Expected: 2897/2, Actual: 1451"
20250123_153700#few-shot#孫子算經_2_15,4,few-shot,孫子算經_2_15,False,"Variable 'a' has wrong value. Expected: 2897/2, Actual: 7243/5"
20250123_153700#few-shot#五曹算經_5_6,0,few-shot,五曹算經_5_6,False,Code error: name '丝總量' is not defined
20250123_153700#few-shot#五曹算經_5_6,1,few-shot,五曹算經_5_6,False,Code error: name '丝總量' is not defined
20250123_153700#few-shot#五曹算經_5_6,2,few-shot,五曹算經_5_6,False,Code error: name '丝總量' is not defined
20250123_153700#few-shot#五曹算經_5_6,3,few-shot,五曹算經_5_6,False,Code error: name '丝總量' is not defined
20250123_153700#few-shot#五曹算經_5_6,4,few-shot,五曹算經_5_6,False,"Variable 'a' has wrong value. Expected: 269/96, Actual: 1/30"
20250115_183014#few-shot#緝古算經_1_3,0,few-shot,緝古算經_1_3,False,"Missing variable in output: 'a'
Missing variable in output: 'b'
Missing variable in output: 'c'
Missing variable in output: 'd'
Missing variable in output: 'e'
Missing variable in output: 'f'
Missing variable in output: 'g'
Missing variable in output: 'h'
Missing variable in output: 'i'
Missing variable in output: 'j'
Missing variable in output: 'k'
Missing variable in output: 'l'
Missing variable in output: 'm'"
20250115_183014#few-shot#緝古算經_1_3,1,few-shot,緝古算經_1_3,False,"Variable 'a' has wrong value. Expected: 3, Actual: 1.7582891942994194
Variable 'b' has wrong value. Expected: 17/5, Actual: 1.7582891942994194
Variable 'c' has wrong value. Expected: 9/5, Actual: 1.1582891942994196
Variable 'd' has wrong value. Expected: 33/5, Actual: 1.7582891942994194
Variable 'e' has wrong value. Expected: 3/2, Actual: 0.12005012764855125
Variable 'f' has wrong value. Expected: 33/10, Actual: 0.12005012764855125
Variable 'g' has wrong value. Expected: 21/10, Actual: 1.1992551951271904
Variable 'h' has wrong value. Expected: 21/10, Actual: 0.12010065380251692
Variable 'i' has wrong value. Expected: 33/25, Actual: 0.12010065380251692
Variable 'j' has wrong value. Expected: 111/50, Actual: 1.199272436712066
Variable 'k' has wrong value. Expected: 3, Actual: 0.15635500085087764
Variable 'l' has wrong value. Expected: 99/50, Actual: 0.15635500085087764
Variable 'm' has wrong value. Expected: 12/5, Actual: 1.2116438988694522"
20250115_183014#few-shot#緝古算經_1_3,2,few-shot,緝古算經_1_3,False,"Variable 'a' has wrong value. Expected: 3, Actual: 123
Variable 'b' has wrong value. Expected: 17/5, Actual: 129
Variable 'c' has wrong value. Expected: 9/5, Actual: 123
Variable 'd' has wrong value. Expected: 33/5, Actual: 123
Variable 'e' has wrong value. Expected: 3/2, Actual: 60
Variable 'f' has wrong value. Expected: 33/10, Actual: 60
Variable 'g' has wrong value. Expected: 21/10, Actual: 66
Variable 'h' has wrong value. Expected: 21/10, Actual: 60
Variable 'i' has wrong value. Expected: 33/25, Actual: 60
Variable 'j' has wrong value. Expected: 111/50, Actual: 66
Variable 'k' has wrong value. Expected: 3, Actual: 89
Variable 'l' has wrong value. Expected: 99/50, Actual: 89
Variable 'm' has wrong value. Expected: 12/5, Actual: 95"
20250115_183014#few-shot#緝古算經_1_3,3,few-shot,緝古算經_1_3,False,Code error: cannot unpack non-iterable ellipsis object
20250115_183014#few-shot#緝古算經_1_3,4,few-shot,緝古算經_1_3,False,"Variable 'a' has wrong value. Expected: 3, Actual: 0.3754927536806519
Variable 'b' has wrong value. Expected: 17/5, Actual: 0.9754927536806519
Variable 'c' has wrong value. Expected: 9/5, Actual: 0.3754927536806519
Variable 'd' has wrong value. Expected: 33/5, Actual: 0.3754927536806519
Variable 'e' has wrong value. Expected: 3/2, Actual: 1.2429541676302966
Variable 'f' has wrong value. Expected: 33/10, Actual: 1.2429541676302966
Variable 'g' has wrong value. Expected: 21/10, Actual: 1.8429541676302967
Variable 'h' has wrong value. Expected: 21/10, Actual: 1.2434772965504906
Variable 'i' has wrong value. Expected: 33/25, Actual: 1.2434772965504906
Variable 'j' has wrong value. Expected: 111/50, Actual: 1.8434772965504904
Variable 'k' has wrong value. Expected: 3, Actual: 1.6188412602640176
Variable 'l' has wrong value. Expected: 99/50, Actual: 1.6188412602640176
Variable 'm' has wrong value. Expected: 12/5, Actual: 2.218841260264018"
20250115_183014#few-shot#九章算術_1_17,0,few-shot,九章算術_1_17,False,"Variable 'a' has wrong value. Expected: 17/8, Actual: 85/36"
20250115_183014#few-shot#九章算術_1_17,1,few-shot,九章算術_1_17,False,"Variable 'a' has wrong value. Expected: 17/8, Actual: 85/36"
20250115_183014#few-shot#九章算術_1_17,2,few-shot,九章算術_1_17,False,"Variable 'a' has wrong value. Expected: 17/8, Actual: 85/36"
20250115_183014#few-shot#九章算術_1_17,3,few-shot,九章算術_1_17,False,"Variable 'a' has wrong value. Expected: 17/8, Actual: 85/36"
20250115_183014#few-shot#九章算術_1_17,4,few-shot,九章算術_1_17,False,"Variable 'a' has wrong value. Expected: 17/8, Actual: 85/36"
20250115_183014#few-shot#九章算術_2_11,0,few-shot,九章算術_2_11,False,"Variable 'a' has wrong value. Expected: 15/4, Actual: 747/200"
20250115_183014#few-shot#九章算術_2_11,1,few-shot,九章算術_2_11,False,"Variable 'a' has wrong value. Expected: 15/4, Actual: 747/200"
20250115_183014#few-shot#九章算術_2_11,2,few-shot,九章算術_2_11,False,"Variable 'a' has wrong value. Expected: 15/4, Actual: 747/200"
20250115_183014#few-shot#九章算術_2_11,3,few-shot,九章算術_2_11,False,"Variable 'a' has wrong value. Expected: 15/4, Actual: (3, Fraction(147, 20))"
